ensembl_id,entrez_id,hgnc_symbol,hgnc_name,cytogenetic_location,uni_protein_id,gene_biotype
ENSG00000196578,81050.0,OR5AC2,olfactory receptor family 5 subfamily AC member 2,3q11.2,Q9NZP5,protein_coding
ENSG00000198130,26275.0,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,2q32.2,A0A140VJL0,protein_coding
ENSG00000252265,,,,,,
ENSG00000014914,10903.0,MTMR11,myotubularin related protein 11,1q21.2,A4FU01,protein_coding
ENSG00000258419,105370586.0,LOC105370586,uncharacterized LOC105370586,14q31.1,,sense_intronic
ENSG00000232694,,,,,,
ENSG00000228938,,,,,,
ENSG00000207821,693225.0,MIR640,microRNA 640,19p13.11,,miRNA
ENSG00000068120,80347.0,COASY,Coenzyme A synthase,17q21.2,Q13057,protein_coding
ENSG00000266498,,,,,,
ENSG00000218048,,,,,,
ENSG00000229713,,,,,,
ENSG00000230609,,,,,,
ENSG00000226784,441531.0,PGAM4,phosphoglycerate mutase family member 4,Xq21.1,Q8N0Y7,protein_coding
ENSG00000162695,148867.0,SLC30A7,solute carrier family 30 member 7,1p21.2,Q8NEW0,protein_coding
ENSG00000252545,,,,,,
ENSG00000234204,,,,,,
ENSG00000259496,,,,,,
ENSG00000273309,,,,,,
ENSG00000165506,55172.0,DNAAF2,dynein axonemal assembly factor 2,14q21.3,Q9NVR5,protein_coding
ENSG00000226488,,,,,,
ENSG00000270898,100302652.0,GPR75-ASB3,GPR75-ASB3 readthrough,2p16.2,A0A0A6YYF3,protein_coding
ENSG00000207761,574408.0,MIR329-1,microRNA 329-1,14q32.31,,miRNA
ENSG00000171119,4902.0,NRTN,neurturin,19p13.3,Q99748,protein_coding
ENSG00000113645,23286.0,WWC1,WW and C2 domain containing 1,5q34,Q8IX03,protein_coding
ENSG00000169554,9839.0,ZEB2,zinc finger E-box binding homeobox 2,2q22.3,O60315,protein_coding
ENSG00000234456,100505881.0,MAGI2-AS3,MAGI2 antisense RNA 3,7q21.11,,processed_transcript
ENSG00000131711,4131.0,MAP1B,microtubule associated protein 1B,5q13.2,A2BDK6,protein_coding
ENSG00000251688,,,,,,
ENSG00000146416,51390.0,AIG1,androgen induced 1,6q24.2,Q9NVV5,protein_coding
ENSG00000110852,9976.0,CLEC2B,C-type lectin domain family 2 member B,12p13.31,Q92478,protein_coding
ENSG00000149948,8091.0,HMGA2,high mobility group AT-hook 2,12q14.3,F5H2A4,protein_coding
ENSG00000240553,,,,,,
ENSG00000156017,138199.0,CARNMT1,carnosine N-methyltransferase 1,9q21.13,Q8N4J0,protein_coding
ENSG00000100253,55586.0,MIOX,myo-inositol oxygenase,22q13.33,Q9UGB7,protein_coding
ENSG00000234767,,,,,,
ENSG00000234853,,,,,,
ENSG00000111713,2998.0,GYS2,glycogen synthase 2,12p12.1,P54840,protein_coding
ENSG00000248807,,,,,,
ENSG00000223523,,,,,,
ENSG00000135439,116986.0,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",12q14.1,F8VVT9,protein_coding
ENSG00000203908,154288.0,KHDC3L,"KH domain containing 3 like, subcortical maternal complex member",6q13,Q587J8,protein_coding
ENSG00000207411,,,,,,
ENSG00000255045,,,,,,
ENSG00000166681,27018.0,BEX3,brain expressed X-linked 3,Xq22.2,Q00994,protein_coding
ENSG00000133149,,,,,,
ENSG00000259443,,,,,,
ENSG00000229016,,,,,,
ENSG00000104142,57617.0,VPS18,"VPS18, CORVET/HOPS core subunit",15q15.1,A0A024R9R3,protein_coding
ENSG00000231192,26341.0,OR5H1,olfactory receptor family 5 subfamily H member 1,3q11.2,A0A126GW79,protein_coding
ENSG00000103534,79838.0,TMC5,transmembrane channel like 5,16p12.3,Q6UXY8,protein_coding
ENSG00000230124,84320.0,ACBD6,acyl-CoA binding domain containing 6,1q25.2-q25.3,A0A024R915,protein_coding
ENSG00000250088,,,,,,
ENSG00000212388,,,,,,
ENSG00000251249,100505685.0,LOC100505685,uncharacterized LOC100505685,4q31.3,,processed_transcript
ENSG00000230980,,,,,,
ENSG00000257378,,,,,,
ENSG00000030304,4593.0,MUSK,muscle associated receptor tyrosine kinase,9q31.3,O15146,protein_coding
ENSG00000204396,80737.0,VWA7,von Willebrand factor A domain containing 7,6p21.33,Q9Y334,protein_coding
ENSG00000239763,,,,,,
ENSG00000235190,,,,,,
ENSG00000213090,,,,,,
ENSG00000235829,,,,,,
ENSG00000189348,646508.0,FAM90A27P,"family with sequence similarity 90 member A27, pseudogene",19q13.42,,transcribed_unprocessed_pseudogene
ENSG00000241324,,,,,,
ENSG00000201138,,,,,,
ENSG00000230237,,,,,,
ENSG00000257831,,,,,,
ENSG00000244468,,,,,,
ENSG00000124107,6590.0,SLPI,secretory leukocyte peptidase inhibitor,20q13.12,P03973,protein_coding
ENSG00000225030,,,,,,
ENSG00000272149,,,,,,
ENSG00000256814,,,,,,
ENSG00000249321,,,,,,
ENSG00000255239,,,,,,
ENSG00000183091,4703.0,NEB,nebulin,2q23.3,P20929,protein_coding
ENSG00000206807,,,,,,
ENSG00000166900,6809.0,STX3,syntaxin 3,11q12.1,Q13277,protein_coding
ENSG00000237921,,,,,,
ENSG00000257384,,,,,,
ENSG00000227335,,,,,,
ENSG00000226631,,,,,,
ENSG00000204460,151121.0,LINC01854,long intergenic non-protein coding RNA 1854,2q21.1,,lincRNA
ENSG00000248537,,,,,,
ENSG00000252956,,,,,,
ENSG00000261546,,,,,,
ENSG00000137393,255488.0,RNF144B,ring finger protein 144B,6p22.3,Q7Z419,protein_coding
ENSG00000271511,,,,,,
ENSG00000089737,57062.0,DDX24,DEAD-box helicase 24,14q32.12,Q9GZR7,protein_coding
ENSG00000254244,,,,,,
ENSG00000120725,64374.0,SIL1,SIL1 nucleotide exchange factor,5q31.2,A0A0S2Z6B4,protein_coding
ENSG00000214807,,,,,,
ENSG00000272373,,,,,,
ENSG00000134480,902.0,CCNH,cyclin H,5q14.3,P51946,protein_coding
ENSG00000200472,,,,,,
ENSG00000269761,,,,,,
ENSG00000227905,,,,,,
ENSG00000225542,100874216.0,ZNF385D-AS1,ZNF385D antisense RNA 1,3p24.3,,antisense
ENSG00000258378,,,,,,
ENSG00000206129,,,,,,
ENSG00000238805,,,,,,
ENSG00000223091,,,,,,
ENSG00000237446,,,,,,
ENSG00000185894,442868.0,BPY2C,"basic charge, Y-linked, 2C",Yq11.23,O14599,protein_coding
ENSG00000198434,,,,,,
ENSG00000188895,339287.0,MSL1,male specific lethal 1 homolog,17q21.1,B3KWR7,protein_coding
ENSG00000084112,54434.0,SSH1,slingshot protein phosphatase 1,12q24.11,Q8WYL5,protein_coding
ENSG00000253901,,,,,,
ENSG00000246575,,,,,,
ENSG00000231018,,,,,,
ENSG00000124659,6903.0,TBCC,tubulin folding cofactor C,6p21.1,Q15814,protein_coding
ENSG00000242352,,,,,,
ENSG00000250462,,,,,,
ENSG00000211538,574503.0,MIR501,microRNA 501,Xp11.23,,miRNA
ENSG00000265513,,,,,,
ENSG00000236519,,,,,,
ENSG00000162738,57216.0,VANGL2,VANGL planar cell polarity protein 2,1q23.2,A8K4L6,protein_coding
ENSG00000100099,89781.0,HPS4,"HPS4, biogenesis of lysosomal organelles complex 3 subunit 2",22q12.1,A8K2E6,protein_coding
ENSG00000247077,192111.0,PGAM5,"PGAM family member 5, mitochondrial serine/threonine protein phosphatase",12q24.33,Q96HS1,protein_coding
ENSG00000254872,,,,,,
ENSG00000239205,101928405.0,LINC02023,long intergenic non-protein coding RNA 2023,3q26.1,,lincRNA
ENSG00000100296,8563.0,THOC5,THO complex 5,22q12.2,A0A024R1D6,protein_coding
ENSG00000135775,22796.0,COG2,component of oligomeric golgi complex 2,1q42.2,Q14746,protein_coding
ENSG00000269605,,,,,,
ENSG00000254152,,,,,,
ENSG00000250215,,,,,,
ENSG00000157404,3815.0,KIT,KIT proto-oncogene receptor tyrosine kinase,4q12,A0A024RDA0,protein_coding
ENSG00000238493,,,,,,
ENSG00000145979,51256.0,TBC1D7,TBC1 domain family member 7,6p24.1,A0A024QZX0,protein_coding
ENSG00000046774,51438.0,MAGEC2,MAGE family member C2,Xq27.2,Q9UBF1,protein_coding
ENSG00000207280,6082.0,SNORD20,"small nucleolar RNA, C/D box 20",2q37.1,,snoRNA
ENSG00000272446,,,,,,
ENSG00000235527,101928846.0,HIPK1-AS1,HIPK1 antisense RNA 1,1p13.2,,antisense
ENSG00000132549,157680.0,VPS13B,vacuolar protein sorting 13 homolog B,8q22.2,Q7Z7G8,protein_coding
ENSG00000272558,,,,,,
ENSG00000131462,7283.0,TUBG1,tubulin gamma 1,17q21.2,P23258,protein_coding
ENSG00000235432,,,,,,
ENSG00000074054,23332.0,CLASP1,cytoplasmic linker associated protein 1,2q14.2-q14.3,Q7Z460,protein_coding
ENSG00000174460,170261.0,ZCCHC12,zinc finger CCHC-type containing 12,Xq24,Q6PEW1,protein_coding
ENSG00000255356,,,,,,
ENSG00000233663,,,,,,
ENSG00000270001,,,,,,
ENSG00000174749,132720.0,C4orf32,chromosome 4 open reading frame 32,4q25,Q8N8J7,protein_coding
ENSG00000263041,,,,,,
ENSG00000253579,,,,,,
ENSG00000251172,,,,,,
ENSG00000270330,,,,,,
ENSG00000268413,,,,,,
ENSG00000226427,,,,,,
ENSG00000242154,,,,,,
ENSG00000211663,,,,,,
ENSG00000237988,,,,,,
ENSG00000223299,,,,,,
ENSG00000105254,1155.0,TBCB,tubulin folding cofactor B,19q13.12,Q99426,protein_coding
ENSG00000224286,284688.0,LINC01142,long intergenic non-protein coding RNA 1142,1q24.2,,lincRNA
ENSG00000102384,2491.0,CENPI,centromere protein I,Xq22.1,B4DZL4,protein_coding
ENSG00000226496,284835.0,LINC00323,long intergenic non-protein coding RNA 323,21q22.2,,antisense
ENSG00000227725,,,,,,
ENSG00000261206,,,,,,
ENSG00000187325,51616.0,TAF9B,TATA-box binding protein associated factor 9b,Xq21.1,Q9HBM6,protein_coding
ENSG00000204788,,,,,,
ENSG00000261823,,,,,,
ENSG00000131375,23473.0,CAPN7,calpain 7,3p25.1,Q7Z479,protein_coding
ENSG00000236717,,,,,,
ENSG00000124466,27076.0,LYPD3,LY6/PLAUR domain containing 3,19q13.31,B2RBR3,protein_coding
ENSG00000259660,,,,,,
ENSG00000231185,101926941.0,LOC101926941,uncharacterized LOC101926941,5q31.3,,antisense
ENSG00000174576,266743.0,NPAS4,neuronal PAS domain protein 4,11q13.2,Q8IUM7,protein_coding
ENSG00000087074,23645.0,PPP1R15A,protein phosphatase 1 regulatory subunit 15A,19q13.33,O75807,protein_coding
ENSG00000273382,,,,,,
ENSG00000141505,432.0,ASGR1,asialoglycoprotein receptor 1,17p13.1,P07306,protein_coding
ENSG00000252233,,,,,,
ENSG00000249779,,,,,,
ENSG00000135299,22881.0,ANKRD6,ankyrin repeat domain 6,6q15,B7Z3D2,protein_coding
ENSG00000265744,100616390.0,MIR4427,microRNA 4427,1q42.2,,miRNA
ENSG00000264016,,,,,,
ENSG00000224019,,,,,,
ENSG00000222733,,,,,,
ENSG00000259696,,,,,,
ENSG00000146463,9202.0,ZMYM4,zinc finger MYM-type containing 4,1p34.3,Q5VZL5,protein_coding
ENSG00000183779,80139.0,ZNF703,zinc finger protein 703,8p11.23,Q9H7S9,protein_coding
ENSG00000162699,,,,,,
ENSG00000232971,,,,,,
ENSG00000252723,,,,,,
ENSG00000268649,407022.0,MIR296,microRNA 296,20q13.32,,lincRNA
ENSG00000271993,,,,,,
ENSG00000264188,,,,,,
ENSG00000167965,64223.0,MLST8,"MTOR associated protein, LST8 homolog",16p13.3,Q9BVC4,protein_coding
ENSG00000243056,8637.0,EIF4EBP3,eukaryotic translation initiation factor 4E binding protein 3,5q31.3,O60516,protein_coding
ENSG00000259169,,,,,,
ENSG00000172465,9338.0,TCEAL1,transcription elongation factor A like 1,Xq22.2,Q15170,protein_coding
ENSG00000118298,23632.0,CA14,carbonic anhydrase 14,1q21.2,A8K3J4,protein_coding
ENSG00000102409,56271.0,BEX4,brain expressed X-linked 4,Xq22.1,Q9NWD9,protein_coding
ENSG00000250315,,,,,,
ENSG00000157978,26119.0,LDLRAP1,low density lipoprotein receptor adaptor protein 1,1p36.11,B3KR97,protein_coding
ENSG00000167995,7439.0,BEST1,bestrophin 1,11q12.3,O76090,protein_coding
ENSG00000231208,,,,,,
ENSG00000222888,,,,,,
ENSG00000257542,26628.0,OR7E47P,olfactory receptor family 7 subfamily E member 47 pseudogene,12q13.13,,transcribed_unprocessed_pseudogene
ENSG00000186860,83902.0,KRTAP17-1,keratin associated protein 17-1,17q21.2,Q9BYP8,protein_coding
ENSG00000131653,84231.0,TRAF7,TNF receptor associated factor 7,16p13.3,B3KQY7,protein_coding
ENSG00000269799,,,,,,
ENSG00000252587,,,,,,
ENSG00000238737,,,,,,
ENSG00000224836,,,,,,
ENSG00000240846,,,,,,
ENSG00000203661,401993.0,OR2T5,olfactory receptor family 2 subfamily T member 5,1q44,Q6IEZ7,protein_coding
ENSG00000270522,,,,,,
ENSG00000104043,79895.0,ATP8B4,ATPase phospholipid transporting 8B4 (putative),15q21.2,Q6PG43,protein_coding
ENSG00000201628,,,,,,
ENSG00000233401,,,,,,
ENSG00000120594,84898.0,PLXDC2,plexin domain containing 2,10p12.31,Q6UX71,protein_coding
ENSG00000266396,100422955.0,MIR4273,microRNA 4273,3p12.3,,miRNA
ENSG00000139219,1280.0,COL2A1,collagen type II alpha 1 chain,12q13.11,P02458,protein_coding
ENSG00000156502,6832.0,SUPV3L1,Suv3 like RNA helicase,10q22.1,B7Z611,protein_coding
ENSG00000232466,,,,,,
ENSG00000121749,64786.0,TBC1D15,TBC1 domain family member 15,12q21.1,Q8TC07,protein_coding
ENSG00000207190,,,,,,
ENSG00000223626,104266956.0,LINC01044,long intergenic non-protein coding RNA 1044,13q34,,lincRNA
ENSG00000244575,,,,,,
ENSG00000237534,,,,,,
ENSG00000237672,,,,,,
ENSG00000253541,,,,,,
ENSG00000160298,54058.0,C21orf58,chromosome 21 open reading frame 58,21q22.3,P58505,protein_coding
ENSG00000258434,,,,,,
ENSG00000227758,,,,,,
ENSG00000221734,,,,,,
ENSG00000197472,57116.0,ZNF695,zinc finger protein 695,1q44,Q8IW36,protein_coding
ENSG00000228560,,,,,,
ENSG00000212387,,,,,,
ENSG00000229452,107986703.0,LOC107986703,uncharacterized LOC107986703,7p14.3,,antisense
ENSG00000232174,,,,,,
ENSG00000266906,,,,,,
ENSG00000265567,,,,,,
ENSG00000188831,,,,,,
ENSG00000270021,,,,,,
ENSG00000264349,100423020.0,MIR4258,microRNA 4258,1q21.3,,miRNA
ENSG00000241684,100507098.0,ADAMTS9-AS2,ADAMTS9 antisense RNA 2,3p14.1,,antisense
ENSG00000270055,,,,,,
ENSG00000264247,400657.0,LINC00909,long intergenic non-protein coding RNA 909,18q22.3,,lincRNA
ENSG00000272927,,,,,,
ENSG00000250183,,,,,,
ENSG00000217179,,,,,,
ENSG00000241582,,,,,,
ENSG00000253376,,,,,,
ENSG00000265588,100847056.0,MIR5708,microRNA 5708,8q21.13,,miRNA
ENSG00000262118,,,,,,
ENSG00000164879,761.0,CA3,carbonic anhydrase 3,8q21.2,P07451,protein_coding
ENSG00000119686,55640.0,FLVCR2,feline leukemia virus subgroup C cellular receptor family member 2,14q24.3,Q9UPI3,protein_coding
ENSG00000228002,,,,,,
ENSG00000186831,,,,,,
ENSG00000100075,6576.0,SLC25A1,solute carrier family 25 member 1,22q11.21,D9HTE9,protein_coding
ENSG00000223485,101929484.0,LINC01615,long intergenic non-protein coding RNA 1615,6q27,,lincRNA
ENSG00000243680,,,,,,
ENSG00000214754,,,,,,
ENSG00000067064,3422.0,IDI1,isopentenyl-diphosphate delta isomerase 1,10p15.3,Q13907,protein_coding
ENSG00000153060,146279.0,TEKT5,tektin 5,16p13.13,Q96M29,protein_coding
ENSG00000237171,,,,,,
ENSG00000261552,,,,,,
ENSG00000250906,,,,,,
ENSG00000229815,,,,,,
ENSG00000197712,92689.0,FAM114A1,family with sequence similarity 114 member A1,4p14,Q8IWE2,protein_coding
ENSG00000106536,11281.0,POU6F2,POU class 6 homeobox 2,7p14.1,P78424,protein_coding
ENSG00000241255,,,,,,
ENSG00000261792,,,,,,
ENSG00000164402,23176.0,8-Sep,septin 8,5q31.1,Q92599,protein_coding
ENSG00000225032,102723566.0,LOC102723566,uncharacterized LOC102723566,9q34.11,,antisense
ENSG00000172197,154141.0,MBOAT1,membrane bound O-acyltransferase domain containing 1,6p22.3,Q6ZNC8,protein_coding
ENSG00000271356,,,,,,
ENSG00000252825,,,,,,
ENSG00000258766,100628307.0,DIO2-AS1,DIO2 antisense RNA 1,14q31.1,,antisense
ENSG00000181467,5912.0,RAP2B,"RAP2B, member of RAS oncogene family",3q25.2,P61225,protein_coding
ENSG00000251597,,,,,,
ENSG00000271214,,,,,,
ENSG00000259118,100506321.0,LOC100506321,uncharacterized LOC100506321,14q23.3,,antisense
ENSG00000228868,,,,,,
ENSG00000101638,29906.0,ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",18q21.1,O15466,protein_coding
ENSG00000239072,,,,,,
ENSG00000231897,,,,,,
ENSG00000125945,80818.0,ZNF436,zinc finger protein 436,1p36.12,A0A024RAF3,protein_coding
ENSG00000223489,,,,,,
ENSG00000218337,,,,,,
ENSG00000265373,100422956.0,MIR3180-2,microRNA 3180-2,16p13.11,,miRNA
ENSG00000012779,240.0,ALOX5,arachidonate 5-lipoxygenase,10q11.21,P09917,protein_coding
ENSG00000262951,,,,,,
ENSG00000236737,,,,,,
ENSG00000224947,,,,,,
ENSG00000224615,,,,,,
ENSG00000252031,,,,,,
ENSG00000199285,,,,,,
ENSG00000048462,608.0,TNFRSF17,TNF receptor superfamily member 17,16p13.13,Q02223,protein_coding
ENSG00000164574,55568.0,GALNT10,polypeptide N-acetylgalactosaminyltransferase 10,5q33.2,Q86SR1,protein_coding
ENSG00000258557,,,,,,
ENSG00000133742,759.0,CA1,carbonic anhydrase 1,8q21.2,P00915,protein_coding
ENSG00000232869,,,,,,
ENSG00000229370,,,,,,
ENSG00000224011,,,,,,
ENSG00000130962,5638.0,PRRG1,proline rich and Gla domain 1,Xp21.1,O14668,protein_coding
ENSG00000199605,,,,,,
ENSG00000252544,,,,,,
ENSG00000240471,,,,,,
ENSG00000270959,339929.0,LPP-AS2,LPP antisense RNA 2,3q27.3,,antisense
ENSG00000270631,,,,,,
ENSG00000159377,5692.0,PSMB4,proteasome subunit beta 4,1q21.3,A0A140VK46,protein_coding
ENSG00000255157,,,,,,
ENSG00000267729,,,,,,
ENSG00000236862,,,,,,
ENSG00000255243,,,,,,
ENSG00000106415,113263.0,GLCCI1,glucocorticoid induced 1,7p21.3,Q86VQ1,protein_coding
ENSG00000176510,392133.0,OR10AC1,olfactory receptor family 10 subfamily AC member 1 (gene/pseudogene),7q35,,polymorphic_pseudogene
ENSG00000266053,101927275.0,NDUFV2-AS1,NDUFV2 antisense RNA 1,18p11.22,,antisense
ENSG00000256061,161582.0,DNAAF4,dynein axonemal assembly factor 4,15q21.3,Q8WXU2,protein_coding
ENSG00000250464,,,,,,
ENSG00000213091,,,,,,
ENSG00000224695,,,,,,
ENSG00000213956,,,,,,
ENSG00000268105,,,,,,
ENSG00000198944,134548.0,SOWAHA,sosondowah ankyrin repeat domain family member A,5q31.1,,protein_coding
ENSG00000201619,,,,,,
ENSG00000200545,,,,,,
ENSG00000272010,,,,,,
ENSG00000207207,,,,,,
ENSG00000166326,54765.0,TRIM44,tripartite motif containing 44,11p13,Q96DX7,protein_coding
ENSG00000233421,100132147.0,LINC01783,long intergenic non-protein coding RNA 1783,1p36.13,,lincRNA
ENSG00000224933,,,,,,
ENSG00000273212,,,,,,
ENSG00000231587,692093.0,SNORD62B,"small nucleolar RNA, C/D box 62B",9q34.13,,snoRNA
ENSG00000200345,,,,,,
ENSG00000200281,,,,,,
ENSG00000266112,,,,,,
ENSG00000229563,101927528.0,LINC01204,long intergenic non-protein coding RNA 1204,Xp11.3,,lincRNA
ENSG00000115361,33.0,ACADL,"acyl-CoA dehydrogenase, long chain",2q34,P28330,protein_coding
ENSG00000155428,378108.0,TRIM74,tripartite motif containing 74,7q11.23,Q86UV6,protein_coding
ENSG00000238665,,,,,,
ENSG00000173599,5091.0,PC,pyruvate carboxylase,11q13.2,A0A024R5C5,protein_coding
ENSG00000120885,1191.0,CLU,clusterin,8p21.1,P10909,protein_coding
ENSG00000252677,,,,,,
ENSG00000006128,6863.0,TAC1,tachykinin precursor 1,7q21.3,P20366,protein_coding
ENSG00000186283,64222.0,TOR3A,torsin family 3 member A,1q25.2,Q9H497,protein_coding
ENSG00000090975,57605.0,PITPNM2,phosphatidylinositol transfer protein membrane associated 2,12q24.31,Q9BZ72,protein_coding
ENSG00000232164,729348.0,LINC01873,long intergenic non-protein coding RNA 1873,2p14,,lincRNA
ENSG00000226222,,,,,,
ENSG00000196368,55190.0,NUDT11,nudix hydrolase 11,Xp11.22,Q96G61,protein_coding
ENSG00000256691,,,,,,
ENSG00000252711,,,,,,
ENSG00000229668,,,,,,
ENSG00000257792,,,,,,
ENSG00000212601,,,,,,
ENSG00000222219,,,,,,
ENSG00000008735,23542.0,MAPK8IP2,mitogen-activated protein kinase 8 interacting protein 2,22q13.33,Q13387,protein_coding
ENSG00000254708,,,,,,
ENSG00000243620,,,,,,
ENSG00000266668,100847017.0,MIR5692C2,microRNA 5692c-2,7q21.3,,miRNA
ENSG00000250101,,,,,,
ENSG00000238408,,,,,,
ENSG00000134108,55207.0,ARL8B,ADP ribosylation factor like GTPase 8B,3p26.1,A0A024R2D4,protein_coding
ENSG00000223782,,,,,,
ENSG00000207406,619569.0,SNORA41,"small nucleolar RNA, H/ACA box 41",2q33.3,,snoRNA
ENSG00000149679,81928.0,CABLES2,Cdk5 and Abl enzyme substrate 2,20q13.33,Q9BTV7,protein_coding
ENSG00000261219,,,,,,
ENSG00000206765,,,,,,
ENSG00000108255,1411.0,CRYBA1,crystallin beta A1,17q11.2,P05813,protein_coding
ENSG00000273476,,,,,,
ENSG00000251368,,,,,,
ENSG00000260147,,,,,,
ENSG00000261963,,,,,,
ENSG00000266378,,,,,,
ENSG00000199771,,,,,,
ENSG00000264968,,,,,,
ENSG00000264041,,,,,,
ENSG00000130821,6535.0,SLC6A8,solute carrier family 6 member 8,Xq28,P48029,protein_coding
ENSG00000048471,92017.0,SNX29,sorting nexin 29,16p13.13-p13.12,Q8TEQ0,protein_coding
ENSG00000263928,,,,,,
ENSG00000221968,3995.0,FADS3,fatty acid desaturase 3,11q12.2,A0A024R564,protein_coding
ENSG00000260027,3217.0,HOXB7,homeobox B7,17q21.32,P09629,protein_coding
ENSG00000230575,,,,,,
ENSG00000260605,,,,,,
ENSG00000239090,,,,,,
ENSG00000200673,,,,,,
