,zipcode,population,5_years_or_less,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,households,"$9,999_or_less","$10,000-$14,999","$15,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$150,000","$150,000-$199,999","$200,000_or_more",median_household_income,mean_household_income,gini
12015,37205,24341,1226,1234,1342,1069,1086,3554,2697,3172,2000,1815,2477,1462,1207,10875,3.5,3.1,6.6,7.4,8.6,14.3,10.9,15.2,9.1,21.2,86824,151847,0.1954676514714368
12016,37206,26323,1888,1604,1218,1433,2056,5811,3896,3457,1580,1243,1329,672,136,10849,12.1,6.9,11.3,10.1,17.0,14.2,10.1,10.6,4.0,3.9,43782,62981,0.2329220293946691
12017,37207,35497,2738,2483,2566,2796,2228,4977,4575,4485,2627,1934,2537,1105,446,13591,9.7,10.6,17.6,15.1,16.2,15.2,8.6,5.9,0.8,0.3,32396,42604,0.206753388642206
12018,37208,16251,1041,1075,878,1168,1928,2769,1852,2207,836,960,952,361,224,6747,20.3,8.5,17.4,11.0,13.5,13.8,8.7,4.6,0.6,1.5,27280,43298,0.23947144001478834
12019,37209,37308,2719,1760,1511,2542,4001,9310,5047,3937,1841,1585,1865,927,263,14132,8.8,4.7,13.8,11.2,16.7,18.7,9.7,9.1,3.7,3.6,45224,61263,0.21851298321783408
12020,37210,16326,1535,1081,975,1037,1558,3013,1868,2208,995,647,680,488,241,6536,16.8,11.2,16.1,15.1,15.1,14.0,5.1,4.9,0.7,1.1,29035,40374,0.23049763970400616
12021,37211,77960,6199,6788,4045,3285,6302,16936,11626,8935,4215,2920,3348,2394,967,29828,7.8,5.3,13.6,13.8,17.3,16.5,11.3,8.2,3.9,2.3,42392,58628,0.21285975503062116
12022,37212,20130,701,494,518,3482,5345,3767,1969,1139,878,675,641,232,289,6583,10.3,5.3,10.5,8.0,10.7,13.7,10.5,14.6,6.8,9.6,54140,91187,0.23045934343434343
12024,37214,29555,1665,1557,1299,1544,1588,5641,4419,4585,1917,1742,1927,1226,445,13227,3.6,3.8,10.0,9.9,18.2,24.2,18.2,9.3,1.6,1.2,52743,61224,0.16783105154639175
12025,37215,21691,1025,1195,1160,854,1171,3040,2938,2963,1616,1598,2180,1135,816,9708,2.0,2.5,5.1,6.4,9.7,12.2,10.3,16.2,9.4,26.3,103693,170897,0.1815954926866015
12026,37216,18479,1129,897,713,922,994,3686,2612,2930,1343,1157,1176,656,264,7834,8.2,5.8,10.5,12.1,17.4,22.5,11.3,8.1,3.1,0.9,45472,55841,0.19580944404201375
12027,37217,28885,2666,1750,1489,1391,2120,6087,4538,3967,1720,922,1478,640,117,12273,7.3,4.1,15.0,14.9,20.2,20.4,8.8,7.4,1.1,0.8,42455,49645,0.18883595432463568
12028,37218,15044,786,734,919,957,1291,1746,1643,2144,1138,971,1418,1011,286,5290,10.9,8.1,14.2,8.0,17.5,19.6,9.8,8.8,1.8,1.4,42733,52233,0.21349484287642187
12029,37219,1039,0,0,0,0,54,390,121,347,59,46,22,0,0,856,13.2,3.4,17.1,11.2,4.3,16.1,11.2,15.1,3.5,4.9,50700,69597,0.23510131498000614
12030,37220,5611,257,355,305,221,257,722,820,836,399,394,575,321,149,2316,0.6,1.6,2.9,4.1,7.5,18.4,12.6,22.2,13.0,17.1,104297,139953,0.1605672279764853
12031,37221,39313,2027,2354,2552,1912,1879,6050,5783,6382,2708,2617,2689,1713,647,16446,3.4,3.0,5.0,8.2,12.3,19.6,14.3,19.8,6.8,7.7,71726,94417,0.18561761503638763
12032,37228,1226,66,45,0,127,205,138,109,179,32,61,119,49,96,635,36.2,11.0,16.7,20.5,8.7,5.2,0.0,0.0,1.7,0.0,15540,22202,0.23716445403252578
24107,70005,25213,1397,1273,1001,915,1575,3334,3338,3511,2114,1703,2604,1553,895,11340,7.0,4.8,9.3,10.9,13.3,15.7,10.1,14.6,5.6,8.9,55721,95481,0.22125257368269138
24111,70032,4544,488,300,344,162,418,751,489,608,281,279,221,141,62,1678,9.7,6.2,15.1,16.3,17.2,13.6,10.2,8.4,1.8,1.5,38284,49459,0.21459748115827054
24124,70053,16365,1194,1017,1026,785,1067,2849,2134,2127,1041,1023,1151,621,330,6276,14.1,10.0,15.4,11.4,15.8,12.5,8.1,8.5,2.8,1.4,33849,50183,0.23732912701696315
24149,70112,2901,115,138,167,150,348,791,385,309,185,172,103,29,9,1494,28.0,7.0,7.8,9.6,4.8,17.0,5.4,10.1,5.4,4.9,31864,58126,0.2754023886888557
24150,70113,7841,507,473,379,501,457,1260,829,1268,610,559,584,290,124,3537,32.2,14.6,17.5,9.1,7.4,7.7,3.7,4.1,1.8,1.8,16149,33760,0.28722916666666665
24151,70114,25456,2285,1931,1753,1499,1981,3309,3051,3545,1642,1651,1546,759,504,9756,20.5,8.3,16.8,13.2,11.1,13.8,7.0,5.9,1.7,1.6,27349,43009,0.2483629564193169
24152,70115,34775,2046,1734,1371,954,1966,8020,4959,4403,2417,2034,2965,1265,641,15923,10.6,5.3,9.8,9.1,12.8,14.7,9.2,9.9,6.8,11.9,52293,97943,0.2383180353758685
24153,70116,11753,444,307,308,410,766,2338,1504,1707,1080,1020,1128,620,121,6235,16.8,9.7,16.1,10.1,10.8,13.6,8.1,6.5,3.6,4.7,31936,63335,0.260396796985398
24154,70117,22963,1221,1063,915,876,1677,4198,3110,3338,1610,1749,1919,900,387,10489,21.6,9.8,16.7,13.7,12.8,11.6,4.8,6.0,1.6,1.3,25958,40775,0.25160932374463785
24155,70118,36068,1685,1612,1633,3888,5189,5974,3928,3948,2167,1811,2454,1222,557,13212,15.6,7.9,13.6,8.4,9.9,11.9,8.5,11.5,3.9,8.7,41110,82405,0.2581744054786273
24156,70119,36626,1516,1585,1416,1597,2930,9308,5406,4738,2512,1806,2091,1178,543,16307,20.3,9.1,15.2,11.1,13.6,12.5,8.0,5.5,2.2,2.6,29190,48376,0.2549016891145948
24157,70121,11867,503,405,525,449,604,1550,1517,2389,910,1011,1083,438,483,5625,8.9,6.9,13.2,14.4,14.6,18.3,11.2,8.0,2.0,2.7,41188,55298,0.21545381452718132
24158,70122,34778,2252,2286,2117,2087,2537,5380,4168,4739,2140,2569,2648,1411,444,13537,15.1,7.5,15.5,11.8,12.5,15.5,9.6,7.2,2.5,2.9,35107,55053,0.24031396314940615
24160,70124,20781,1752,1090,1221,787,895,4038,3003,2702,1689,1226,1254,667,457,8387,4.4,3.3,4.1,5.7,12.0,16.3,12.1,19.2,9.6,13.3,83451,115592,0.19046182840430634
24161,70125,17040,1077,957,904,1586,1596,3138,2107,2188,914,860,873,462,378,6008,18.6,7.0,12.0,9.7,12.0,9.4,8.5,10.9,4.8,7.0,38031,67152,0.2625140948670033
24162,70126,25139,1630,2078,2077,1801,1883,3465,2672,3300,1632,1607,1804,750,440,9132,18.9,13.2,16.2,11.8,12.8,12.8,7.5,4.9,1.7,0.1,26177,38005,0.23768658274085186
24163,70127,25230,2239,2192,1870,1704,2108,3817,2706,3062,1796,1465,1445,589,237,9018,23.8,10.9,14.8,12.1,12.5,11.5,6.1,6.9,0.7,0.8,25467,37517,0.25152224396607964
24164,70128,19681,1315,1542,1344,1213,1737,3087,2188,2492,1475,1431,1315,434,108,7036,14.4,7.0,13.4,11.6,14.9,13.6,10.0,10.5,2.8,1.8,37259,53505,0.2324103708953461
24165,70129,10457,915,792,667,704,706,1826,1374,1172,678,557,624,403,39,3211,13.9,6.9,13.8,13.2,17.2,14.5,9.1,8.3,1.5,1.5,36455,49072,0.22387039612630708
24166,70130,13743,585,301,180,180,1080,4182,1852,1960,976,705,1062,470,210,8061,12.8,5.3,11.5,7.7,12.6,14.1,10.2,13.5,5.7,6.6,50135,82770,0.2363124154142033
24167,70131,31506,1847,1860,2177,2139,2281,4285,4154,4900,1996,1996,2135,1156,580,11797,7.3,4.6,12.2,13.0,13.2,15.6,13.5,10.8,4.6,5.2,49597,73327,0.21909121256200814
24234,70461,28396,1695,2540,2217,2145,1904,2720,3823,4474,1968,1468,2114,1124,204,9870,5.8,4.0,9.0,12.5,10.3,17.0,13.3,17.4,5.7,5.0,59859,77099,0.20412641120998806
30010,90001,57227,5355,5033,4827,5255,5181,9065,7860,6470,2337,1876,2434,1142,392,13438,10.9,8.7,17.3,15.2,18.8,14.2,8.3,5.2,1.2,0.3,33887,42625,0.20653101547842398
30011,90002,50626,4969,4483,4896,4898,4821,7249,6689,5888,2089,1495,1933,861,355,12134,13.0,12.4,17.0,12.7,16.5,13.9,7.4,5.3,1.4,0.4,30413,40278,0.22137345229424615
30012,90003,69502,6680,6332,6454,6665,6222,10213,9194,8807,2995,2013,2406,1091,430,16287,11.4,11.5,18.6,14.2,16.0,15.8,6.6,4.9,0.8,0.3,30805,39552,0.21061657259815175
30013,90004,64008,3906,3219,3799,3659,4540,12014,9899,9502,4046,3255,3696,1679,794,22726,7.7,7.5,15.4,13.3,15.5,15.4,7.3,7.7,3.8,6.5,40612,72532,0.23793860468896028
30014,90005,38979,2836,2046,2006,1771,2788,8399,6666,4977,1911,1677,2475,1039,388,15823,10.2,10.5,18.4,17.6,17.2,13.3,5.7,3.9,1.5,1.7,31142,45224,0.2197099805573558
30015,90006,61625,3927,4466,3655,4051,4872,11278,8747,8190,3707,2942,3708,1454,628,19156,7.4,9.3,20.5,19.3,19.5,14.0,5.6,3.3,0.5,0.7,31521,39123,0.19201929138822343
30016,90007,43426,1925,2099,1948,5020,12012,7570,3839,3447,1604,1054,1537,995,376,11707,25.1,12.3,16.4,12.5,11.4,11.1,5.5,4.5,0.5,0.7,22304,33382,0.2502181266895594
30017,90008,31837,1915,1268,1387,2025,2135,3895,3748,5242,2759,2017,2661,1947,838,14370,11.8,12.0,13.6,11.3,11.4,15.0,7.9,10.9,3.7,2.4,36564,56076,0.24039244546498284
30018,90010,3740,42,27,134,150,338,959,489,578,249,212,289,232,41,2180,12.7,6.6,13.5,7.1,13.3,19.3,8.5,11.1,3.9,3.9,45786,63806,0.23228292763565733
30019,90011,104058,9920,9513,9057,9603,8883,16480,16114,12145,4200,2998,2844,1753,548,22734,11.8,9.9,20.2,15.3,16.8,14.7,5.5,4.6,0.8,0.4,30251,38870,0.20974211061019746
30020,90012,30860,925,861,798,1149,3125,7610,5182,3632,1276,1442,2278,1885,697,10658,14.0,14.7,14.2,9.1,8.1,15.0,7.7,11.5,3.3,2.4,31576,52569,0.2503877005347594
30021,90013,11299,350,64,23,30,622,2771,2185,2119,1006,852,559,479,239,6592,24.6,20.5,10.8,5.7,5.4,8.0,9.0,9.1,3.4,3.5,19887,53527,0.2884969526611675
30022,90014,7006,103,20,12,49,280,2052,1338,962,606,398,683,457,46,4656,22.8,19.3,9.3,5.0,9.5,6.7,12.8,9.0,2.1,3.5,23642,51769,0.27655067271508843
30023,90015,18767,1421,974,1106,1270,1711,3798,3356,2034,756,645,881,684,131,7683,14.8,13.6,16.3,10.2,10.8,11.0,7.0,8.2,4.3,3.8,29684,56573,0.26246540850453887
30024,90016,47590,3156,2629,2813,3188,4278,7595,7257,6500,2814,2527,2838,1284,711,17146,11.0,8.6,15.0,11.4,14.5,17.3,11.1,7.3,2.1,1.7,38330,52082,0.22021551596870237
30025,90017,24336,1469,1292,1528,1439,2739,5811,4077,2247,930,738,1077,736,253,9981,18.9,13.2,21.3,10.5,10.4,8.7,5.9,5.2,2.9,2.9,22754,43541,0.26897145692271773
30026,90018,49824,3519,3342,3434,3285,4210,7646,6802,6344,3252,2590,2709,1794,897,15929,11.1,10.7,17.3,12.2,14.3,17.1,6.7,6.8,2.6,1.1,33864,47420,0.22600432415118507
30027,90019,67553,4203,3242,3747,3928,4622,11078,11160,10139,4251,3444,4371,2160,1208,24313,8.0,7.2,12.9,10.1,15.3,16.9,10.4,8.8,4.3,6.1,46571,73491,0.22953221202067742
30028,90020,39866,2129,2194,2059,1747,3359,8808,6950,5770,2097,1721,1662,904,466,16425,6.6,6.6,16.4,15.2,19.2,16.3,8.5,6.1,2.4,2.6,38849,63797,0.2119560349798193
30029,90021,2970,121,167,102,24,66,609,375,641,326,314,150,71,4,1712,34.5,22.9,11.0,4.2,6.0,9.3,2.3,6.0,2.7,1.0,12813,37432,0.2990098375657745
30030,90022,68136,5001,5695,4640,5503,6279,10163,10135,7611,3093,3015,3586,2347,1068,17216,7.7,9.6,15.1,14.2,16.5,19.4,8.8,6.2,1.8,0.8,37916,48362,0.20401892103205635
30031,90023,46288,3748,3551,3827,3789,4624,6679,7109,5273,2298,1711,2121,1035,523,11125,9.1,9.6,17.2,13.2,15.6,18.7,8.9,6.2,1.1,0.4,35736,44934,0.20402925590638107
30032,90024,50693,787,1052,753,10857,14339,6962,3649,3374,1882,1433,2356,1623,1626,17146,18.0,3.7,8.0,8.0,7.9,10.9,6.9,12.8,5.7,18.0,57202,118490,0.24792733751425317
30033,90025,46107,2065,1489,1108,1040,3835,13968,7781,4992,2268,2104,3102,1394,961,21934,6.2,3.7,8.1,6.2,10.3,17.3,13.1,17.0,8.0,10.2,71183,97416,0.20439381006218207
30034,90026,68520,3572,3388,3397,3786,4970,15514,11294,8893,3687,3149,3844,2066,960,25139,7.1,5.9,13.5,10.7,14.3,16.1,10.8,10.5,5.2,6.0,47993,71459,0.22611736933348084
30035,90027,46646,2117,1443,1460,1290,2147,11604,7878,6244,2735,2844,3795,2195,894,21953,8.0,8.3,11.7,9.0,11.1,16.8,11.2,13.0,4.1,6.7,51595,80500,0.2279326708432346
30036,90028,30380,871,606,769,1336,3849,9008,4767,3621,1374,1075,1590,888,626,15873,13.1,12.8,13.5,11.8,13.4,15.7,8.2,7.4,1.5,2.5,33582,48350,0.23745382503755114
30037,90029,40472,2310,2175,1944,1982,3455,8451,5975,5273,2491,1969,2461,1427,559,14169,8.5,10.4,16.4,15.9,14.5,17.3,8.7,5.7,1.2,1.4,33912,46169,0.21230119863938235
30038,90031,39422,2641,2530,2417,2805,3051,5935,5722,4994,2534,1915,2452,1472,954,11430,7.8,9.0,19.5,13.7,12.9,17.1,9.6,7.1,1.9,1.5,34994,50597,0.2166526224842448
30039,90032,47099,3134,2880,2890,3706,4376,7268,6748,6010,2561,2277,3105,1481,663,13111,7.3,6.6,13.5,11.2,15.7,18.5,11.0,11.0,3.5,1.8,45457,58494,0.20960053859964092
30040,90033,48277,3788,3709,3753,4752,4569,7112,5885,5967,2000,1995,2200,1617,930,13110,12.1,13.4,20.1,14.1,14.4,13.9,5.7,4.6,1.1,0.7,27622,38778,0.22256827437006868
30041,90034,58069,3220,1973,2245,1986,5201,16912,9081,6780,2654,2432,3394,1448,743,25769,9.3,2.9,9.3,7.7,13.8,19.3,13.4,13.7,4.8,5.8,58004,77982,0.21084205085796986
30042,90035,30852,2102,1574,1244,1190,1881,6262,4801,3796,1801,1703,2065,1455,978,13192,6.2,5.3,5.7,7.9,9.7,15.8,12.4,14.7,8.8,13.5,73794,110288,0.20956213654964462
30043,90036,37640,2023,1618,1547,1192,2500,9888,7266,4891,2063,1314,1504,986,848,18602,7.6,4.6,6.0,8.0,11.0,16.4,10.9,16.1,8.5,10.8,69894,98934,0.2116308923637814
30044,90037,62872,5724,4817,4847,5348,5769,10307,9011,7862,2968,2048,2187,1493,491,16603,11.7,13.0,21.6,14.8,15.3,12.7,5.3,4.2,1.0,0.3,27179,37157,0.21523493292398055
30045,90038,28577,1962,1471,1226,1326,2892,6664,4565,3701,1335,1221,1489,522,203,11781,9.6,11.0,18.3,12.2,13.3,15.0,8.1,7.2,2.8,2.6,33800,52802,0.23487483953786914
30046,90039,28149,1213,1374,1191,1091,1414,5495,5203,4014,1647,1552,2176,1283,496,11443,3.7,5.1,8.3,9.9,10.6,15.1,12.7,17.7,7.8,9.1,70560,97230,0.2043795901187262
30047,90040,12699,835,898,860,1026,941,1966,1618,1406,752,679,989,440,289,3465,6.8,10.4,12.5,9.6,16.9,17.7,11.6,10.7,3.2,0.7,44964,53948,0.2072647377448768
30048,90041,28796,1566,1373,1215,2233,2188,3828,3901,3917,2005,1844,2398,1554,774,9591,6.1,5.7,9.0,7.1,11.7,17.2,9.9,16.7,7.6,9.0,63358,88588,0.21330207176099678
30049,90042,62650,3961,4155,3500,4217,4417,11280,9491,7939,3753,3159,3985,2045,748,19846,6.7,5.3,13.0,10.3,14.9,17.9,11.4,12.0,5.2,3.3,49630,65797,0.21298144310113223
30050,90043,43129,2779,2218,2493,2655,2919,5687,5628,6494,3480,2315,3452,1767,1242,16631,9.7,13.3,12.9,11.8,10.3,13.1,9.2,10.9,4.9,3.9,38180,63343,0.24408609369081197
30051,90044,88975,7860,7569,6970,7066,7311,13267,11583,11530,4808,3552,4177,2356,926,26326,13.9,10.8,19.5,14.1,14.3,13.6,7.1,4.6,1.4,0.6,29206,40429,0.22414062499999998
30052,90045,41922,2004,1572,1984,4205,4718,7020,5052,5808,2203,2141,2801,1400,1014,15740,6.8,2.7,6.9,8.5,7.8,17.1,11.7,15.8,10.9,12.0,75684,105568,0.20477222000797127
30053,90046,51651,1216,1150,902,943,3394,13875,9590,7853,3050,2629,3455,2026,1568,29069,7.3,8.5,10.1,6.9,11.3,14.5,11.0,13.4,5.2,11.8,57941,100249,0.23011639303713322
30054,90047,48678,3066,3124,3481,3676,3858,5937,5965,7299,3342,2127,3698,2573,532,16604,11.9,9.1,11.7,13.2,13.3,17.4,10.2,9.3,2.5,1.4,39269,51763,0.22239299760191847
30055,90048,22498,1255,507,315,458,1543,5989,4234,2349,1288,1197,1667,945,751,11957,5.8,3.8,5.9,5.1,9.4,18.4,12.6,15.0,8.7,15.3,78940,117366,0.2010951260676111
30056,90049,35427,1725,1487,1615,1553,2021,5850,5169,4455,2244,2221,3663,2201,1223,16259,4.1,2.2,4.3,4.1,6.2,11.6,10.9,16.4,11.5,28.7,115629,203686,0.17228035492212634
30057,90056,8537,326,329,615,558,443,586,831,1269,904,949,699,499,529,3471,4.1,2.4,5.0,8.9,10.6,16.0,7.2,19.7,10.3,15.8,84099,121296,0.19404802081307138
30058,90057,46509,2804,3091,3059,2779,3304,9667,8131,5001,2421,1904,2384,1318,646,16149,11.0,12.3,21.2,16.4,15.7,13.8,5.1,3.4,0.6,0.4,27890,36914,0.20665306812800224
30059,90058,2680,268,262,230,316,208,338,361,359,148,75,69,31,15,802,32.9,11.3,18.1,4.7,10.8,15.7,5.0,1.1,0.1,0.1,17018,29280,0.24431331454737587
30060,90059,44648,4249,4524,4711,4044,3987,6844,5031,5359,1958,1577,1342,622,400,9933,14.5,9.6,13.9,13.9,15.4,15.4,8.8,5.5,2.6,0.3,32506,44163,0.22317644409413362
30061,90061,28135,2824,2341,2279,2395,2685,4153,3183,3559,1431,916,1299,741,329,7223,14.4,10.3,14.5,12.6,14.1,17.5,8.0,6.6,1.7,0.3,33731,44364,0.22164903383011275
30062,90062,33353,2884,2138,2139,2337,2737,5014,4445,4696,1979,1714,1834,1061,375,9440,10.9,11.6,14.6,13.3,15.5,16.8,9.3,6.5,0.7,0.9,34588,45127,0.2141888321492007
30063,90063,53813,3997,4431,3860,4780,5060,7818,7650,6279,2724,1954,3015,1646,599,13390,7.3,8.7,16.5,11.5,16.2,19.6,10.7,7.3,1.4,0.9,40006,49949,0.20202069727720282
30064,90064,26384,1636,1712,1441,936,1556,4084,4143,3442,1830,1398,2147,1246,813,10771,6.3,2.1,5.1,7.7,9.9,12.0,13.1,13.8,9.9,20.1,87283,137077,0.19985267951705146
30065,90065,46904,2934,2757,2559,2926,3206,7135,7533,6533,2876,2571,3172,2015,687,14931,6.6,6.3,10.5,10.6,13.3,17.1,10.1,12.5,5.5,7.4,54078,78633,0.22282475674934904
30066,90066,59124,3692,2838,2578,2344,3713,11956,10190,8458,3284,2649,4191,2071,1160,24434,5.9,3.4,8.4,7.6,11.8,17.1,12.7,16.0,7.0,10.1,68132,95379,0.20701974718937496
30067,90067,2330,143,96,28,4,40,156,374,214,137,97,353,417,271,1428,6.2,1.8,10.7,4.7,5.4,10.6,12.5,12.1,2.5,33.5,97891,212657,0.19837907439135308
30068,90068,21233,743,608,510,590,1053,4989,4474,2908,1553,1249,1370,686,500,11845,7.3,4.1,6.8,7.7,8.9,15.6,9.4,12.3,8.2,19.6,73693,129224,0.2144773479831427
30069,90069,20132,303,233,216,213,954,5272,3553,4063,1466,1109,1416,1098,236,12551,6.5,4.5,5.3,8.2,9.2,13.9,13.6,15.1,8.6,15.0,78979,128939,0.20718542752867572
30072,90077,8844,433,656,601,436,428,548,1025,1386,572,593,1240,651,275,3341,1.4,1.5,2.3,4.8,5.1,9.1,8.0,12.2,12.1,43.4,164281,251632,0.13936681874740772
30076,90094,6858,610,423,122,337,548,1586,1634,832,165,227,280,66,28,3100,5.7,3.1,7.5,7.8,5.1,12.6,6.4,17.2,11.0,23.6,104367,131195,0.1961416193869024
30078,90201,102946,9193,9094,9049,9276,9043,15899,14801,12038,4709,3312,3892,1958,682,24107,7.1,6.8,16.1,15.7,19.6,18.3,8.7,6.1,1.3,0.3,37254,46076,0.19103354410031087
30079,90210,22052,960,1325,1254,1164,757,2733,2372,3397,1348,1331,2802,1441,1168,8398,7.9,4.5,4.5,3.0,4.0,7.0,6.6,14.5,8.9,39.0,145227,292359,0.1728575638687812
30080,90211,7530,233,313,493,413,431,1202,1073,998,616,424,615,458,261,3514,6.3,2.8,6.8,6.4,11.1,22.1,8.0,14.8,8.2,13.6,69638,122849,0.20681988651715755
30081,90212,12577,592,655,783,810,805,1877,1673,2130,587,685,1167,545,268,5716,8.4,2.9,4.2,3.7,7.5,13.2,11.8,19.7,9.5,19.1,92476,147968,0.19345616387681494
30082,90220,50715,4156,3989,3802,4472,4381,7262,6132,7032,2808,1820,2776,1464,621,13182,7.7,6.7,12.7,9.2,15.8,21.8,11.7,11.3,2.3,0.9,47882,56436,0.19825590933145182
30083,90221,54236,4586,4937,4511,5115,5233,8176,7505,6323,2429,1755,2343,1103,220,11886,7.9,5.1,13.8,14.7,16.3,19.3,10.9,8.5,2.9,0.7,41960,52311,0.20058553123830905
30084,90222,31875,2987,2504,3175,3057,2624,4665,3896,4012,1346,968,1548,581,512,7832,9.3,9.5,16.0,12.9,16.7,16.6,9.9,7.6,0.7,0.8,37881,46450,0.20772367368701677
30085,90230,31978,1600,1856,1992,1640,1818,5142,5043,4355,1883,1865,2924,1211,649,12915,5.1,4.1,9.0,7.0,9.1,15.9,12.9,19.5,8.6,8.8,74823,97146,0.20056639121575737
30086,90232,15708,880,620,713,820,1092,2580,2628,2106,932,1018,1248,588,483,6388,6.1,3.3,7.2,6.1,10.8,14.9,15.3,14.9,8.1,13.2,77004,105790,0.2041007122698562
30087,90240,26655,1707,1475,2003,1772,2245,3527,4346,3472,1686,1191,1737,954,540,7181,1.9,2.1,4.1,6.2,13.3,19.9,16.1,18.0,7.2,11.2,76907,99309,0.1795320979833175
30088,90241,43592,3076,2810,3113,3044,2920,6772,6695,5369,2966,1930,2637,1569,691,13440,4.3,4.5,8.2,11.2,15.2,20.7,14.7,13.2,4.3,3.7,57372,71443,0.19331102616560789
30089,90242,43160,2995,2933,3603,3279,3911,6441,6235,5622,2313,2097,2192,1004,535,12117,5.7,3.8,8.9,10.4,12.4,23.1,15.9,14.1,3.7,2.1,58669,67144,0.18662175011142473
30090,90245,16929,1135,745,1122,1228,877,2290,2514,3034,1322,977,880,572,233,6747,3.2,2.6,5.0,5.0,8.0,18.4,14.6,17.9,12.0,13.1,85727,112182,0.1808419926055653
30091,90247,48032,3273,3342,2892,2754,3039,7244,6721,6754,2874,2464,2881,2434,1360,16053,8.1,6.7,13.8,14.1,13.2,17.8,10.8,9.5,3.8,2.1,42926,57568,0.21623587589164583
30092,90248,10166,582,409,525,727,694,1135,1006,1590,726,703,972,805,292,3432,4.8,6.1,12.0,7.2,14.7,19.4,14.4,11.9,4.6,4.9,53306,70584,0.20631190424998208
30093,90249,26627,1745,1492,1873,1982,1898,3115,3564,3838,1626,1531,2360,1028,575,8739,7.5,4.5,8.6,11.5,16.3,17.7,9.3,16.9,4.4,3.4,51181,70957,0.20761997215913253
30094,90250,95939,6664,7426,7071,6368,7749,16496,13916,12103,5400,4203,5089,2552,902,31813,7.5,5.1,11.4,13.0,16.6,19.0,11.2,9.8,4.1,2.5,46172,61524,0.20902137388785433
